Food Group Names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
דגנים מלאים,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪
דברי מאפה (לחמים) מדגן מלא,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪
דגנים לא מלאים,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪
דברי מאפה (לחמים) מדגן לא מלא,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
ירקות עמילניים,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
דברי מאפה מלוחים,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
דברי מאפה מתוקים,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
מידגנים (Cereals),⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
משקאות ממותקים בסוכר,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪
משקאות ממותקים בתחליפי סוכר,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
משקאות אורז/ שיבולת שועל,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪
משקאות אלכוהוליים לא מתוקים,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
משקאות אלכוהוליים שמכילים פחמימות,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
קבוצת הירקות,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪
קבוצת הפירות,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪
קבוצת קטניות,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪
קבוצת אגוזים וגרעינים,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
קבוצת שמנים צמחיים,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪
שומנים מהחי,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,⚪,🟢,⚪
